                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                     36,                0.69632,                0.45753,                 1.3658,                0.03046,                      0,                      0,                 0.8233,                0.81005,                0.84926,                0.70381,                0.66371,                0.41514,                 1.4531,                0.02853,                      0,                      0,               0.006535,               0.006535,               0.006535,               0.043518,                0.43348,                  0.477,               0.056823,                0.14286,               0.031424,                0.49369,                0.52511,               0.046662,                0.14614,                      1
                     37,                0.69033,                0.45426,                 1.3657,                0.03013,                      0,                      0,                0.81604,                0.81686,                0.85483,                0.70742,                0.66498,                0.41599,                 1.4407,                0.02849,                      0,                      0,               0.006436,               0.006436,               0.006436,               0.042626,                0.43753,                0.48015,               0.055965,                0.14289,               0.030352,                0.49852,                0.52887,               0.045627,                0.14588,                      1
                     38,                0.69403,                 0.4548,                 1.3727,                0.03022,                      0,                      0,                0.81972,                0.82816,                0.85856,                 0.7109,                0.66375,                0.41302,                  1.449,                0.02845,                      0,                      0,               0.006337,               0.006337,               0.006337,               0.042265,                0.43827,                0.48054,               0.055621,                0.14323,               0.030247,                0.49897,                0.52922,               0.045519,                0.14606,                      1
                     39,                0.69028,                0.45072,                 1.3725,                0.03008,                      0,                      0,                0.83166,                 0.8203,                0.86261,                 0.7147,                0.66462,                0.41121,                 1.4487,                0.02837,                      0,                      0,               0.006238,               0.006238,               0.006238,               0.042368,                  0.439,                0.48137,               0.055825,                0.14338,               0.030185,                0.49921,                0.52939,               0.045563,                0.14602,                      1
                     40,                0.68845,                0.45143,                  1.369,                0.03015,                      0,                      0,                0.82115,                0.82858,                0.86106,                0.71374,                 0.6649,                 0.4112,                 1.4499,                 0.0283,                      0,                      0,               0.006139,               0.006139,               0.006139,               0.041703,                0.43778,                0.47949,                0.05507,                0.14327,               0.029989,                0.49825,                0.52824,               0.045278,                 0.1458,                      1
                     41,                0.68783,                0.44684,                 1.3733,                0.03019,                      0,                      0,                0.83044,                0.82956,                0.86351,                0.71524,                0.66439,                0.40952,                  1.452,                0.02824,                      0,                      0,                0.00604,                0.00604,                0.00604,               0.042281,                0.43865,                0.48093,               0.055748,                0.14366,               0.030572,                0.49924,                0.52981,               0.045968,                0.14666,                      1
                     42,                0.68593,                0.44685,                 1.3674,                0.03001,                      0,                      0,                0.82853,                0.83691,                0.86604,                0.71751,                0.66338,                0.40795,                 1.4516,                0.02822,                      0,                      0,               0.005941,               0.005941,               0.005941,               0.041641,                0.44042,                0.48206,               0.055095,                0.14327,               0.030182,                0.50069,                0.53087,                0.04554,                0.14596,                      1
                     43,                 0.6802,                0.44326,                 1.3679,                0.02989,                      0,                      0,                0.83373,                0.82624,                0.86568,                0.71878,                0.66251,                0.40855,                 1.4447,                0.02816,                      0,                      0,               0.005842,               0.005842,               0.005842,               0.040771,                0.44262,                0.48339,                0.05432,                0.14301,               0.029352,                0.50057,                0.52992,               0.044755,                0.14551,                      1
                     44,                0.68312,                0.44196,                  1.366,                   0.03,                      0,                      0,                0.83149,                0.83654,                0.86762,                0.72073,                0.66171,                0.40713,                 1.4443,                0.02811,                      0,                      0,               0.005743,               0.005743,               0.005743,               0.041415,                0.44271,                0.48412,               0.055078,                0.14431,               0.029998,                0.50097,                0.53096,               0.045535,                0.14637,                      1
                     45,                0.68629,                0.44403,                 1.3713,                0.02985,                      0,                      0,                0.83036,                0.83605,                0.86654,                 0.7197,                 0.6616,                0.40746,                 1.4458,                0.02808,                      0,                      0,               0.005644,               0.005644,               0.005644,               0.041002,                0.44165,                0.48265,               0.054431,                0.14309,                0.02962,                0.50204,                0.53166,               0.044965,                0.14579,                      1
                     46,                0.68199,                0.44158,                 1.3722,                0.02988,                      0,                      0,                0.83421,                0.82997,                0.86596,                0.71952,                0.66127,                0.40701,                  1.447,                0.02804,                      0,                      0,               0.005545,               0.005545,               0.005545,               0.040891,                0.44094,                0.48183,               0.054254,                0.14317,               0.029343,                0.50085,                0.53019,               0.044589,                0.14518,                      1
                     47,                 0.6807,                0.43711,                 1.3673,                 0.0298,                      0,                      0,                0.82624,                0.83789,                0.86385,                0.71868,                0.66028,                0.40636,                 1.4476,                  0.028,                      0,                      0,               0.005446,               0.005446,               0.005446,               0.040913,                0.44358,                0.48449,               0.054411,                0.14362,               0.029526,                0.50427,                 0.5338,                0.04495,                0.14596,                      1
                     48,                0.67919,                0.43851,                   1.37,                 0.0298,                      0,                      0,                0.83243,                0.82726,                0.86177,                0.71709,                0.65967,                0.40639,                 1.4503,                0.02796,                      0,                      0,               0.005347,               0.005347,               0.005347,               0.040687,                0.44247,                0.48315,               0.054192,                0.14353,               0.029305,                0.50268,                0.53199,               0.044721,                0.14584,                      1
