                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                     49,                0.66497,                0.42831,                 1.3574,                0.02953,                      0,                0.83374,                 0.8274,                0.86653,                0.72654,                0.64917,                0.40021,                 1.4457,                0.02779,                      0,               0.005248,               0.005248,               0.005248,               0.039869,                0.44708,                0.48695,               0.053468,                0.14337,                0.02893,                0.50881,                0.53774,               0.044471,                0.14629,                      1
                     50,                0.66031,                0.42398,                 1.3614,                0.02969,                      0,                0.82881,                0.82875,                0.86483,                0.72524,                0.64881,                0.39971,                 1.4477,                0.02776,                      0,               0.005149,               0.005149,               0.005149,               0.039931,                0.44664,                0.48657,               0.053746,                0.14417,               0.029083,                0.50636,                0.53544,               0.044836,                0.14658,                      1
                     51,                 0.6639,                0.42687,                 1.3658,                0.02959,                      0,                0.82836,                0.82827,                0.86553,                0.72654,                0.64849,                0.39927,                 1.4499,                0.02773,                      0,                0.00505,                0.00505,                0.00505,               0.040446,                0.44579,                0.48624,               0.054137,                0.14415,               0.028911,                0.50807,                0.53698,               0.044598,                0.14663,                      1
                     52,                0.65948,                0.42346,                 1.3682,                0.02936,                      0,                0.84245,                0.81688,                0.86562,                0.72663,                0.64801,                0.39882,                 1.4507,                0.02771,                      0,               0.004951,               0.004951,               0.004951,               0.038795,                0.44632,                0.48511,               0.052288,                0.14228,               0.028506,                0.50831,                0.53681,                0.04395,                0.14568,                      1
                     53,                0.65625,                0.41902,                 1.3688,                0.02938,                      0,                0.83553,                0.82361,                0.86624,                0.72747,                0.64775,                0.39833,                  1.452,                0.02769,                      0,               0.004852,               0.004852,               0.004852,                0.03917,                0.45026,                0.48943,               0.052836,                0.14358,               0.028348,                0.51035,                 0.5387,               0.043939,                0.14592,                      1
                     54,                0.65367,                0.41761,                 1.3696,                0.02924,                      0,                0.85154,                0.81065,                0.86582,                0.72755,                0.64743,                0.39806,                 1.4535,                0.02767,                      0,               0.004753,               0.004753,               0.004753,               0.039495,                0.45053,                0.49002,               0.053169,                0.14356,               0.028482,                 0.5125,                0.54098,               0.044135,                 0.1464,                      1
                     55,                0.65661,                0.41512,                 1.3616,                0.02931,                      0,                0.84004,                0.82005,                0.86614,                0.72751,                0.64734,                0.39755,                 1.4547,                0.02765,                      0,               0.004654,               0.004654,               0.004654,               0.039227,                0.45086,                0.49009,               0.052971,                0.14384,               0.028441,                0.51245,                0.54089,               0.044151,                 0.1467,                      1
                     56,                0.65264,                0.41633,                 1.3603,                0.02943,                      0,                0.84087,                0.82171,                0.86694,                0.72844,                0.64726,                0.39681,                 1.4555,                0.02764,                      0,               0.004555,               0.004555,               0.004555,               0.038928,                0.44873,                0.48766,               0.052738,                0.14355,                0.02848,                0.50877,                0.53725,               0.044227,                 0.1463,                      1
                     57,                 0.6484,                0.41085,                 1.3563,                 0.0293,                      0,                0.83783,                0.82355,                0.86714,                0.72829,                0.64713,                0.39673,                 1.4555,                0.02762,                      0,               0.004456,               0.004456,               0.004456,               0.039116,                0.45332,                0.49244,               0.053092,                0.14476,               0.028289,                0.51409,                0.54238,               0.044206,                0.14701,                      1
                     58,                0.65637,                0.41479,                 1.3519,                0.02926,                      0,                0.84534,                0.81778,                0.86716,                0.72871,                0.64696,                0.39684,                 1.4555,                0.02759,                      0,               0.004357,               0.004357,               0.004357,                0.03925,                0.44928,                0.48853,               0.052918,                0.14351,               0.028619,                0.51169,                 0.5403,               0.044275,                0.14638,                      1
