                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,    train/saliency_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      val/saliency_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 0.6495,                0.41012,                 1.3601,                0.03061,                0.84043,                0.83766,                0.87048,                0.72969,                 0.6484,                0.39791,                 1.4567,                0.03473,               0.003961,               0.003961,               0.003961
                     63,                0.65244,                0.41192,                 1.3598,                0.03118,                0.84131,                0.83735,                0.87058,                0.72965,                0.64832,                0.39771,                 1.4564,                0.03471,               0.003862,               0.003862,               0.003862
                     64,                0.65174,                0.41113,                 1.3618,                0.03106,                0.84081,                0.83682,                0.87022,                0.73006,                0.64812,                0.39776,                 1.4564,                0.03468,               0.003763,               0.003763,               0.003763
                     65,                0.64558,                0.40381,                 1.3601,                0.03063,                 0.8404,                0.83779,                0.87047,                0.73012,                0.64801,                0.39758,                  1.457,                0.03465,               0.003664,               0.003664,               0.003664
                     66,                0.64495,                0.40425,                 1.3617,                0.03055,                0.83971,                 0.8383,                0.87038,                0.73048,                 0.6479,                0.39754,                 1.4572,                0.03463,               0.003565,               0.003565,               0.003565
                     67,                0.64999,                0.40522,                 1.3498,                0.03085,                0.83865,                0.84079,                0.86998,                0.72978,                0.64781,                0.39761,                 1.4571,                 0.0346,               0.003466,               0.003466,               0.003466
                     68,                0.64208,                0.39952,                 1.3563,                0.03024,                0.83928,                0.83984,                0.87003,                0.72975,                0.64776,                0.39754,                 1.4571,                0.03458,               0.003367,               0.003367,               0.003367
                     69,                0.64294,                0.39848,                 1.3577,                0.03017,                0.84038,                0.84096,                0.86997,                0.72975,                0.64773,                0.39772,                 1.4575,                0.03456,               0.003268,               0.003268,               0.003268
                     70,                0.64077,                0.39787,                 1.3467,                   0.03,                0.83731,                0.84261,                0.86988,                0.73023,                0.64762,                 0.3977,                 1.4576,                0.03453,               0.003169,               0.003169,               0.003169
                     71,                 0.6399,                0.39872,                 1.3508,                 0.0302,                 0.8384,                0.84172,                0.86999,                0.73022,                0.64759,                0.39754,                 1.4578,                0.03452,                0.00307,                0.00307,                0.00307
                     72,                0.63775,                0.39442,                 1.3478,                0.03018,                0.83713,                0.84277,                0.86984,                0.72992,                0.64757,                0.39759,                 1.4581,                 0.0345,               0.002971,               0.002971,               0.002971
                     73,                0.63477,                0.39128,                 1.3558,                0.02967,                  0.837,                 0.8434,                0.86998,                0.73015,                0.64757,                0.39746,                 1.4585,                0.03448,               0.002872,               0.002872,               0.002872
