                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/prompt_warmup_factor
                     33,                0.69249,                0.46229,                 1.3667,                0.03048,                0.00045,                0.80773,                0.82547,                0.85668,                0.71382,                0.65633,                0.41493,                 1.4554,                0.02868,                 0.0004,               0.006832,               0.006832,               0.006832,               0.044106,                 0.4324,                0.47651,               0.057212,                0.14261,                0.51842,               0.044732,             0.00057226,               0.031633,                0.49061,                0.52224,               0.046572,                0.14547,                0.51548,                0.04474,              0.0019586,                      1
                     34,                0.68874,                0.45708,                 1.3677,                 0.0304,                0.00044,                0.82937,                 0.8023,                 0.8524,                0.71077,                 0.6564,                0.41524,                 1.4495,                0.02858,                 0.0004,               0.006733,               0.006733,               0.006733,                0.04364,                0.43488,                0.47852,                0.05689,                0.14316,                0.51859,               0.044474,             0.00053984,                0.03107,                0.49294,                0.52401,               0.046171,                0.14553,                0.51563,               0.044492,              0.0018586,                      1
                     35,                0.69063,                0.45743,                 1.3687,                0.03042,                0.00045,                 0.8332,                0.81168,                 0.8583,                0.71663,                0.65606,                0.41133,                 1.4493,                0.02852,                 0.0004,               0.006634,               0.006634,               0.006634,               0.043907,                0.43478,                0.47869,               0.057072,                0.14312,                0.51853,               0.044762,             0.00051078,               0.031102,                0.49566,                0.52676,               0.046191,                0.14607,                0.51575,               0.044775,              0.0017694,                      1
                     36,                0.68378,                0.45252,                 1.3616,                0.03042,                0.00045,                0.82606,                0.80929,                0.85379,                0.71433,                0.65431,                0.41069,                 1.4447,                0.02844,                 0.0004,               0.006535,               0.006535,               0.006535,               0.043257,                0.43417,                0.47742,               0.056587,                0.14281,                0.51869,               0.045139,             0.00048658,               0.031017,                0.49269,                0.52371,               0.046234,                0.14572,                0.51593,               0.045151,              0.0016837,                      1
                     37,                0.68045,                0.44936,                 1.3629,                0.03011,                0.00045,                0.82466,                0.80442,                0.85197,                0.71236,                0.65357,                 0.4099,                 1.4461,                0.02835,                 0.0004,               0.006436,               0.006436,               0.006436,               0.042509,                0.43767,                0.48018,               0.055859,                0.14279,                0.51863,               0.045146,             0.00046011,               0.030341,                0.49517,                0.52551,                0.04553,                0.14534,                0.51589,               0.045135,              0.0015887,                      1
                     38,                0.68337,                0.44983,                 1.3681,                0.03015,                0.00045,                0.83232,                0.80744,                 0.8548,                0.71496,                0.65367,                0.40776,                 1.4464,                0.02834,                 0.0004,               0.006337,               0.006337,               0.006337,               0.041924,                0.43953,                0.48146,               0.055321,                0.14312,                0.51843,               0.044572,             0.00043722,               0.030155,                0.49755,                0.52771,               0.045396,                0.14566,                0.51587,               0.044585,              0.0015074,                      1
                     39,                0.67951,                0.44532,                 1.3693,                0.03003,                0.00045,                 0.8234,                0.81615,                 0.8526,                0.71225,                0.65451,                0.40857,                 1.4438,                0.02826,                 0.0004,               0.006238,               0.006238,               0.006238,               0.042103,                0.43977,                0.48187,               0.055585,                0.14309,                0.51835,               0.044703,             0.00041519,               0.030098,                0.49939,                0.52949,               0.045491,                0.14605,                0.51591,                0.04471,              0.0014251,                      1
                     40,                0.67769,                0.44607,                 1.3642,                0.03011,                0.00045,                0.82137,                0.82065,                0.85376,                  0.714,                0.65391,                0.40843,                 1.4434,                0.02823,                 0.0004,               0.006139,               0.006139,               0.006139,               0.041401,                0.43801,                0.47941,               0.054781,                0.14293,                 0.5186,               0.044814,              0.0003938,               0.029579,                0.49792,                 0.5275,               0.044868,                0.14571,                0.51607,               0.044827,              0.0013415,                      1
                     41,                0.67723,                0.44121,                 1.3698,                0.03015,                0.00045,                 0.8381,                0.81597,                0.85674,                0.71698,                 0.6534,                0.40674,                 1.4421,                0.02819,                 0.0004,                0.00604,                0.00604,                0.00604,               0.042193,                0.44083,                0.48303,               0.055727,                0.14403,                0.51875,               0.045136,             0.00037313,               0.030071,                0.49946,                0.52953,               0.045478,                0.14654,                0.51621,                0.04512,              0.0012828,                      1
                     42,                0.67604,                0.44107,                 1.3659,                0.02999,                0.00045,                 0.8206,                0.82591,                0.85818,                0.71833,                0.65272,                0.40573,                 1.4453,                0.02812,                 0.0004,               0.005941,               0.005941,               0.005941,               0.041694,                0.44032,                0.48201,               0.055151,                0.14311,                0.51862,               0.045133,             0.00035169,                 0.0298,                0.49988,                0.52968,               0.045139,                0.14579,                0.51618,               0.045152,              0.0012228,                      1
                     43,                0.66994,                0.43774,                 1.3671,                0.02982,                0.00045,                 0.8227,                 0.8265,                0.85655,                0.71759,                0.65189,                0.40549,                 1.4455,                0.02808,                0.00039,               0.005842,               0.005842,               0.005842,               0.040401,                0.44382,                0.48422,               0.053988,                0.14289,                0.51885,               0.045034,             0.00033743,               0.029032,                0.50106,                0.53009,               0.044454,                0.14533,                 0.5164,               0.045031,              0.0011514,                      1
                     44,                0.67197,                0.43622,                 1.3631,                0.02993,                0.00045,                0.82881,                0.82029,                0.85832,                0.71937,                0.65169,                 0.4053,                 1.4454,                0.02806,                0.00039,               0.005743,               0.005743,               0.005743,                0.04123,                0.44314,                0.48437,               0.054912,                0.14384,                0.51888,               0.045139,             0.00032108,               0.029729,                0.50171,                0.53144,               0.045298,                0.14652,                0.51648,                0.04513,              0.0010794,                      1
                     45,                0.67437,                0.43757,                 1.3688,                0.02979,                0.00045,                0.82966,                0.82262,                0.85527,                0.71679,                0.65129,                0.40528,                  1.446,                0.02801,                0.00039,               0.005644,               0.005644,               0.005644,               0.040574,                0.44311,                0.48368,               0.054053,                0.14295,                0.51895,               0.044883,             0.00030663,               0.029257,                0.50214,                 0.5314,               0.044611,                0.14558,                0.51665,               0.044895,              0.0010331,                      1
                     46,                0.67093,                0.43658,                   1.37,                0.02979,                0.00045,                0.83502,                0.81568,                0.85428,                0.71624,                0.65148,                0.40467,                 1.4488,                0.02797,                0.00039,               0.005545,               0.005545,               0.005545,                0.04036,                0.44176,                0.48212,               0.053751,                0.14274,                0.51905,               0.044939,             0.00029338,                  0.029,                0.50199,                0.53099,                0.04429,                0.14546,                0.51674,               0.044941,             0.00098939,                      1
                     47,                0.66927,                0.43154,                 1.3649,                0.02973,                0.00045,                0.82399,                 0.8259,                0.85338,                0.71522,                0.65073,                0.40389,                 1.4498,                0.02794,                0.00039,               0.005446,               0.005446,               0.005446,               0.040669,                0.44483,                0.48549,               0.054217,                0.14381,                0.51896,               0.044721,             0.00028056,               0.029118,                0.50466,                0.53378,               0.044569,                0.14609,                0.51678,               0.044727,             0.00094265,                      1
                     48,                0.66843,                0.43298,                 1.3667,                0.02975,                0.00045,                0.82555,                0.82663,                0.85511,                0.71682,                 0.6501,                0.40258,                   1.45,                0.02791,                0.00039,               0.005347,               0.005347,               0.005347,                0.04003,                0.44233,                0.48236,               0.053532,                0.14291,                0.51877,               0.045012,             0.00026773,               0.028987,                 0.5038,                0.53279,               0.044441,                0.14596,                0.51678,                0.04498,             0.00090484,                      1
