                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gder_attention_weight,p2/P3_gder_modality_weight,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/prompt_warmup_factor
                     31,                0.69593,                0.46429,                 1.3739,                0.03046,                0.00045,                 0.8145,                0.81848,                0.85332,                0.70972,                0.65912,                0.41803,                 1.4442,                0.02883,                 0.0004,                0.00703,                0.00703,                0.00703,                0.49954,                0.50046,               0.044469,                0.42998,                0.47445,               0.057447,                0.14204,                0.51857,               0.044992,             0.00063958,                0.50021,                0.49979,               0.031201,                0.49307,                0.52427,               0.046153,                0.14535,                0.51571,                0.04496,              0.0021727,                0.50011,                0.49989,                      1
                     32,                  0.692,                0.45996,                 1.3748,                0.03055,                0.00045,                0.82204,                0.81735,                0.85234,                0.70979,                0.65782,                0.41671,                  1.438,                0.02871,                 0.0004,               0.006931,               0.006931,               0.006931,                0.49946,                0.50054,                0.04568,                0.43253,                0.47821,               0.058972,                0.14408,                0.51832,               0.045022,              0.0006062,                0.50022,                0.49978,               0.031954,                  0.497,                0.52896,               0.047301,                0.14731,                0.51564,               0.045001,              0.0020694,                0.50012,                0.49988,                      1
                     33,                0.69539,                0.46248,                 1.3706,                0.03056,                0.00045,                0.81108,                0.81678,                 0.8539,                 0.7129,                0.65656,                0.41583,                 1.4496,                0.02865,                 0.0004,               0.006832,               0.006832,               0.006832,                0.49942,                0.50058,               0.044513,                0.43013,                0.47464,                0.05771,                0.14318,                0.51838,               0.045158,              0.0005714,                0.50022,                0.49978,               0.031447,                0.49453,                0.52598,               0.046701,                0.14659,                0.51563,                0.04513,              0.0019331,                0.50012,                0.49988,                      1
                     34,                0.68677,                0.45542,                 1.3658,                0.03025,                0.00045,                0.81539,                0.81042,                0.84824,                0.70859,                0.65452,                0.41454,                 1.4448,                0.02852,                 0.0004,               0.006733,               0.006733,               0.006733,                0.49938,                0.50062,               0.043744,                0.43701,                0.48076,               0.057063,                0.14347,                0.51858,               0.044759,             0.00053918,                0.50023,                0.49977,               0.030919,                 0.4993,                0.53022,               0.046221,                 0.1463,                0.51586,               0.044771,              0.0018633,                0.50012,                0.49988,                      1
                     35,                0.68804,                0.45543,                 1.3728,                 0.0303,                0.00045,                0.83782,                0.82446,                0.86725,                0.72447,                0.65434,                0.40853,                 1.4508,                 0.0285,                 0.0004,               0.006634,               0.006634,               0.006634,                0.49937,                0.50063,               0.044054,                0.43566,                0.47972,               0.057282,                0.14346,                0.51838,               0.045173,             0.00051068,                0.50024,                0.49976,                0.03136,                0.49949,                0.53085,               0.046607,                0.14671,                0.51581,               0.045143,              0.0017669,                0.50012,                0.49988,                      1
                     36,                0.68658,                0.44931,                 1.3727,                0.03053,                0.00045,                0.82935,                0.82617,                0.86441,                0.72145,                0.65542,                0.40863,                  1.449,                0.02845,                 0.0004,               0.006535,               0.006535,               0.006535,                0.49934,                0.50066,               0.043664,                0.43254,                 0.4762,               0.057108,                0.14361,                0.51831,               0.045073,             0.00048375,                0.50024,                0.49976,               0.031152,                0.49609,                0.52724,               0.046664,                0.14709,                0.51576,               0.045054,              0.0016839,                0.50012,                0.49988,                      1
                     37,                0.68273,                0.45036,                 1.3676,                0.03016,                0.00045,                0.82886,                0.81922,                0.86241,                0.72054,                0.65315,                0.40609,                  1.445,                0.02833,                 0.0004,               0.006436,               0.006436,               0.006436,                0.49933,                0.50067,                0.04224,                0.43785,                0.48009,               0.055635,                0.14312,                0.51825,                0.04472,             0.00045632,                0.50025,                0.49975,               0.030038,                0.49916,                 0.5292,               0.045397,                 0.1458,                0.51585,               0.044715,              0.0016061,                0.50013,                0.49987,                      1
                     38,                0.67236,                0.43533,                 1.3592,                0.02998,                0.00045,                0.84504,                0.81941,                0.86544,                0.72339,                 0.6537,                0.40653,                 1.4447,                0.02827,                 0.0004,               0.006337,               0.006337,               0.006337,                0.49932,                0.50068,               0.041861,                0.44197,                0.48383,               0.055467,                0.14343,                0.51823,               0.045017,             0.00044797,                0.50025,                0.49975,               0.029848,                0.50483,                0.53468,               0.045475,                0.14681,                0.51577,               0.044994,              0.0015667,                0.50013,                0.49987,                      1
                     39,                0.67919,                0.44671,                 1.3741,                0.02991,                0.00045,                0.83583,                0.82513,                 0.8639,                0.72043,                0.65369,                0.40461,                 1.4531,                0.02825,                 0.0004,               0.006238,               0.006238,               0.006238,                0.49926,                0.50074,               0.042156,                0.44061,                0.48276,               0.055574,                 0.1434,                0.51852,               0.044565,              0.0004297,                0.50025,                0.49975,               0.030266,                0.50262,                0.53289,               0.045652,                0.14626,                0.51602,                0.04454,              0.0014812,                0.50013,                0.49987,                      1
                     40,                0.67934,                0.44575,                 1.3677,                0.03009,                0.00045,                0.83098,                0.82423,                0.86028,                0.71841,                0.65426,                0.40605,                 1.4484,                0.02823,                 0.0004,               0.006139,               0.006139,               0.006139,                0.49923,                0.50077,               0.042322,                0.43664,                0.47896,               0.055572,                0.14322,                0.51861,               0.044948,              0.0004069,                0.50026,                0.49974,               0.029777,                0.50104,                0.53082,               0.045064,                0.14594,                 0.5162,               0.044936,              0.0014089,                0.50013,                0.49987,                      1
