                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/prompt_warmup_factor
                     33,                0.69265,                0.46078,                 1.3676,                 0.0306,                0.00045,                0.82014,                0.82408,                0.86047,                0.71849,                0.65525,                0.41312,                 1.4439,                0.02871,                0.00039,               0.006832,               0.006832,               0.006832,                0.04365,                0.43379,                0.47744,                0.05679,                0.14292,                0.51868,               0.044742,             0.00034297,                0.50028,                0.49972,               0.032767,                0.48809,                0.52086,               0.047625,                0.14595,                0.51731,               0.044738,              0.0013454,                0.50015,                0.49985,                      1
                     34,                0.68837,                0.45699,                   1.37,                 0.0305,                0.00044,                0.80622,                0.82379,                0.85441,                0.71367,                0.65427,                0.41261,                 1.4566,                0.02865,                0.00039,               0.006733,               0.006733,               0.006733,               0.043375,                 0.4366,                0.47997,               0.056676,                0.14354,                0.51887,               0.044482,             0.00031999,                0.50028,                0.49972,               0.032449,                0.49051,                0.52296,                0.04747,                0.14619,                0.51747,               0.044484,              0.0012669,                0.50015,                0.49985,                      1
                     35,                0.69026,                0.45669,                 1.3723,                0.03054,                0.00045,                 0.8361,                0.80601,                0.85961,                0.71881,                0.65562,                0.41013,                 1.4552,                0.02857,                0.00039,               0.006634,               0.006634,               0.006634,               0.043726,                0.43688,                 0.4806,               0.056944,                0.14361,                0.51881,               0.044772,             0.00030058,                0.50028,                0.49972,               0.032705,                0.49182,                0.52453,               0.047673,                0.14635,                 0.5175,               0.044782,              0.0011836,                0.50015,                0.49985,                      1
                     36,                0.68497,                0.45325,                 1.3607,                0.03054,                0.00045,                0.82847,                0.80999,                0.85742,                0.71823,                0.65324,                0.41205,                 1.4383,                0.02848,                0.00039,               0.006535,               0.006535,               0.006535,                0.04334,                0.43463,                0.47797,               0.056693,                0.14334,                0.51894,               0.045148,             0.00028088,                0.50028,                0.49972,               0.031953,                0.49041,                0.52237,               0.047099,                0.14608,                0.51765,               0.045152,              0.0011069,                0.50015,                0.49985,                      1
                     37,                0.68009,                0.45046,                 1.3615,                0.03021,                0.00045,                0.80517,                0.83021,                0.85444,                0.71438,                0.65278,                0.41083,                 1.4384,                0.02846,                0.00039,               0.006436,               0.006436,               0.006436,               0.042133,                0.43883,                0.48096,               0.055525,                0.14315,                0.51886,               0.045156,             0.00026254,                0.50029,                0.49971,               0.031264,                0.49351,                0.52477,               0.046402,                0.14566,                0.51762,               0.045144,              0.0010471,                0.50015,                0.49985,                      1
                     38,                0.68343,                0.44939,                 1.3692,                0.03028,                0.00045,                 0.8284,                 0.8222,                0.86008,                0.71871,                0.65249,                0.40701,                 1.4462,                0.02844,                0.00039,               0.006337,               0.006337,               0.006337,                0.04176,                0.44112,                0.48288,                 0.0552,                0.14344,                0.51867,               0.044581,             0.00024773,                0.50029,                0.49971,               0.031237,                0.49561,                0.52684,               0.046419,                0.14618,                0.51761,               0.044598,             0.00097861,                0.50016,                0.49984,                      1
                     39,                0.67941,                0.44524,                 1.3699,                0.03015,                0.00045,                0.81398,                0.83043,                0.85801,                0.71776,                0.65238,                0.40767,                 1.4449,                0.02836,                0.00039,               0.006238,               0.006238,               0.006238,               0.042158,                0.44065,                 0.4828,               0.055672,                0.14366,                0.51865,                0.04471,             0.00023297,                0.50029,                0.49971,               0.031056,                0.49593,                0.52698,               0.046338,                 0.1461,                0.51757,                0.04471,             0.00092549,                0.50016,                0.49984,                      1
                     40,                  0.678,                0.44551,                 1.3646,                0.03019,                0.00045,                0.82066,                0.82382,                 0.8584,                0.71845,                0.65289,                0.40713,                 1.4495,                 0.0283,                0.00039,               0.006139,               0.006139,               0.006139,               0.041553,                0.44017,                0.48173,               0.054994,                0.14358,                0.51874,               0.044822,              0.0002178,                0.50029,                0.49971,               0.030461,                0.49611,                0.52657,               0.045699,                0.14592,                0.51778,               0.044823,             0.00087372,                0.50016,                0.49984,                      1
                     41,                0.67733,                0.44199,                 1.3696,                0.03025,                0.00045,                0.81832,                0.82746,                 0.8608,                0.72053,                0.65272,                 0.4063,                 1.4467,                0.02826,                0.00039,                0.00604,                0.00604,                0.00604,               0.042256,                0.44176,                0.48402,               0.055813,                0.14444,                0.51891,               0.045145,             0.00020759,                0.50029,                0.49971,               0.031176,                0.49619,                0.52737,               0.046474,                0.14637,                0.51794,               0.045129,             0.00082068,                0.50016,                0.49984,                      1
                     42,                0.67551,                0.44207,                 1.3649,                 0.0301,                0.00045,                0.83328,                0.81954,                0.86244,                0.72264,                0.65164,                0.40527,                  1.446,                 0.0282,                0.00039,               0.005941,               0.005941,               0.005941,               0.041767,                0.44183,                0.48359,               0.055257,                0.14363,                0.51872,               0.045141,             0.00019461,                0.50029,                0.49971,               0.030803,                0.49705,                0.52785,               0.046056,                0.14592,                0.51789,               0.045154,             0.00076775,                0.50017,                0.49983,                      1
