                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/reliability_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/reliability_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,         p2/P3_gate_std,p2/P3_gate_teacher_agreement,     p2/P3_ir_gate_mean,   p2/P3_ir_prompt_mean,       p2/P3_prompt_std,p2/P3_prompt_teacher_agreement,p2/P3_prompt_teacher_mae,    p2/P3_rgb_gate_mean,    p2/P3_rgb_prompt_fg,  p2/P3_rgb_prompt_mean,       p2/P3_target_rgb,         p2/P4_gate_std,p2/P4_gate_teacher_agreement,     p2/P4_ir_gate_mean,   p2/P4_ir_prompt_mean,       p2/P4_prompt_std,p2/P4_prompt_teacher_agreement,p2/P4_prompt_teacher_mae,    p2/P4_rgb_gate_mean,    p2/P4_rgb_prompt_fg,  p2/P4_rgb_prompt_mean,       p2/P4_target_rgb,  p2/teacher_ir_quality,p2/teacher_relative_entropy,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/reliability_warmup_factor
                     33,                  0.704,                0.46727,                 1.3677,                0.03328,                0.81297,                0.83262,                0.86612,                0.71327,                 0.6669,                0.41478,                 1.4499,                0.03345,               0.006832,               0.006832,               0.006832,                0.64323,                0.78795,                 1.6083,                0.60376,                0.10397,                0.78795,                0.13513,                0.39166,                0.39794,                0.39624,                0.39392,                0.57208,                0.23134,                0.43645,                0.58271,                0.10116,                0.76341,                0.12123,                 1.5636,                0.39924,                0.41729,                0.39885,                0.58864,                 0.5657,                0.31545,                0.48659,                      1
                     34,                0.69809,                0.46123,                 1.3719,                0.03335,                0.81903,                0.82043,                0.86069,                0.70807,                0.66625,                0.41639,                 1.4544,                0.03344,               0.006733,               0.006733,               0.006733,                0.63985,                0.78943,                 1.6047,                 0.6041,                0.10447,                0.78943,                0.13136,                0.39533,                0.39836,                 0.3959,                0.39662,                0.57555,                0.22935,                0.43282,                0.58359,                0.10298,                0.76365,                0.11981,                 1.5672,                0.40042,                0.41641,                0.40114,                 0.5916,                 0.5696,                0.30971,                0.49195,                      1
                     35,                0.70109,                0.46271,                 1.3738,                0.03326,                0.82829,                0.82315,                0.86776,                0.71586,                0.66516,                 0.4121,                 1.4524,                0.03342,               0.006634,               0.006634,               0.006634,                0.64379,                0.78899,                 1.6087,                0.60606,                 0.1067,                0.78899,                0.13378,                0.39128,                0.39723,                0.39394,                 0.3944,                0.57748,                0.22926,                 0.4309,                0.58549,                0.10445,                0.76549,                0.12129,                 1.5691,                0.39865,                0.41451,                0.39874,                0.58894,                0.56562,                0.31631,                0.48621,                      1
                     36,                0.69589,                0.45765,                 1.3643,                0.03328,                0.81373,                 0.8255,                0.86027,                0.70882,                0.66512,                0.41341,                 1.4499,                 0.0334,               0.006535,               0.006535,               0.006535,                0.64273,                0.78439,                 1.6075,                0.60411,                0.10535,                0.78439,                0.13256,                0.39251,                0.39983,                0.39589,                0.39586,                0.57626,                0.23466,                0.43207,                0.58575,                0.10439,                0.75889,                0.12169,                 1.5679,                0.40126,                0.41425,                0.40066,                0.58421,                0.56516,                0.31446,                0.48353,                      1
                     37,                 0.6905,                0.45434,                 1.3663,                0.03318,                0.81942,                0.82026,                0.86283,                0.71269,                0.66364,                0.41194,                 1.4485,                0.03337,               0.006436,               0.006436,               0.006436,                0.65015,                0.78707,                 1.6161,                0.60689,                 0.1086,                0.78707,                0.13485,                0.38392,                0.39759,                0.39311,                0.39346,                0.57924,                0.23285,                  0.429,                0.58507,                0.10426,                0.76064,                0.12329,                  1.571,                0.39899,                0.41493,                0.39871,                0.58612,                 0.5624,                0.31925,                0.48432,                      1
                     38,                0.69322,                0.45354,                 1.3745,                0.03324,                0.82941,                0.82155,                0.86427,                0.71408,                0.66245,                0.40861,                 1.4592,                0.03335,               0.006337,               0.006337,               0.006337,                0.65232,                0.78799,                 1.6187,                0.60609,                0.10857,                0.78799,                0.13098,                0.38127,                0.39967,                0.39391,                0.39567,                0.58069,                0.23054,                0.42752,                0.58973,                0.10721,                0.76526,                0.12149,                 1.5725,                0.40001,                0.41027,                0.40011,                0.58729,                0.56509,                0.31654,                0.48624,                      1
                     39,                0.68947,                0.44976,                  1.373,                0.03325,                0.82175,                0.81583,                0.85916,                0.70859,                0.66254,                0.41098,                 1.4561,                0.03333,               0.006238,               0.006238,               0.006238,                0.65149,                 0.7811,                 1.6178,                0.60753,                0.11094,                 0.7811,                0.12984,                0.38225,                0.39973,                0.39247,                0.39774,                0.57856,                 0.2392,                0.42961,                0.58807,                0.10672,                0.75527,                0.12072,                 1.5704,                0.40062,                0.41193,                0.40232,                0.58488,                0.56728,                0.31061,                0.48632,                      1
                     40,                0.68859,                0.45048,                 1.3687,                0.03314,                0.82782,                0.81935,                0.86406,                0.71371,                0.66184,                0.40873,                 1.4505,                 0.0333,               0.006139,               0.006139,               0.006139,                0.65352,                0.78827,                 1.6201,                0.60879,                0.11326,                0.78826,                0.12823,                0.37993,                0.39913,                0.39121,                0.39446,                0.57779,                0.23076,                0.43043,                0.58795,                0.10753,                0.76283,                0.11936,                 1.5696,                0.40003,                0.41205,                0.39916,                0.59254,                0.56676,                0.31345,                0.49055,                      1
                     41,                0.68775,                0.44656,                 1.3731,                0.03316,                0.83317,                0.82195,                0.86796,                0.71722,                0.66181,                0.40782,                 1.4503,                0.03328,                0.00604,                0.00604,                0.00604,                0.65239,                0.78935,                 1.6187,                0.61083,                0.11614,                0.78928,                 0.1281,                0.38128,                0.39912,                0.38917,                0.39524,                0.57982,                0.22943,                0.42844,                0.58957,                0.10909,                0.76353,                0.12064,                 1.5716,                0.39972,                0.41043,                0.39988,                0.58794,                0.56662,                0.31364,                0.48695,                      1
                     42,                0.68582,                0.44588,                 1.3703,                0.03304,                0.83396,                0.82094,                0.86847,                  0.718,                0.66113,                0.40606,                 1.4559,                0.03326,               0.005941,               0.005941,               0.005941,                0.65295,                0.78812,                 1.6194,                0.61448,                0.12056,                0.78804,                0.13008,                0.38062,                0.39604,                0.38552,                0.39202,                0.57699,                0.23089,                0.43123,                0.58837,                0.10817,                0.76247,                0.12152,                 1.5688,                0.39818,                0.41163,                0.39734,                 0.5899,                0.56505,                 0.3169,                0.48722,                      1
                     43,                0.67982,                 0.4429,                 1.3709,                0.03309,                 0.8323,                 0.8185,                0.86706,                0.71849,                0.66089,                0.40656,                 1.4531,                0.03325,               0.005842,               0.005842,               0.005842,                0.65183,                0.78763,                  1.618,                0.61384,                0.12123,                0.78717,                0.12857,                0.38196,                0.39764,                0.38616,                0.39441,                0.57531,                 0.2329,                0.43313,                0.58741,                0.10708,                0.76045,                0.12133,                 1.5669,                 0.4006,                0.41259,                0.39954,                0.58633,                0.56571,                0.31437,                0.48625,                      1
                     44,                0.68226,                0.44148,                 1.3667,                0.03306,                0.83885,                0.82116,                0.87137,                0.72221,                0.66102,                0.40389,                 1.4539,                0.03324,               0.005743,               0.005743,               0.005743,                0.65397,                0.78898,                   1.62,                0.61507,                0.12324,                0.78852,                0.12852,                0.37999,                0.39656,                0.38493,                0.39372,                0.58651,                0.23038,                0.42133,                0.59068,                0.10978,                0.76229,                0.12115,                 1.5787,                0.39858,                0.40932,                0.39842,                0.58792,                0.56406,                0.31742,                0.48541,                      1
