                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                     38,                0.68325,                0.44895,                 1.3684,                0.03037,                      0,                      0,                0.82224,                0.82606,                0.86575,                0.72439,                0.65205,                0.40562,                 1.4436,                0.02856,                      0,                      0,               0.006337,               0.006337,               0.006337,               0.041426,                0.44154,                0.48297,               0.054882,                0.14352,               0.032355,                0.49082,                0.52317,               0.047397,                0.14626,                      1
                     39,                0.67937,                0.44483,                 1.3689,                0.03025,                      0,                      0,                0.83776,                0.81018,                0.86492,                0.72337,                0.65247,                0.40577,                 1.4448,                0.02847,                      0,                      0,               0.006238,               0.006238,               0.006238,               0.041904,                0.44077,                0.48267,               0.055419,                0.14349,               0.032389,                0.49092,                0.52331,               0.047514,                0.14599,                      1
                     40,                 0.6774,                0.44581,                 1.3676,                0.03033,                      0,                      0,                0.83299,                0.82339,                 0.8682,                0.72703,                0.65127,                 0.4028,                 1.4525,                 0.0284,                      0,                      0,               0.006139,               0.006139,               0.006139,               0.041103,                0.43899,                0.48009,                0.05451,                0.14325,               0.031976,                0.49088,                0.52286,               0.047056,                0.14595,                      1
                     41,                0.67674,                0.44023,                 1.3731,                0.03033,                      0,                      0,                0.83269,                0.83282,                0.86879,                0.72749,                 0.6516,                0.40145,                 1.4554,                0.02837,                      0,                      0,                0.00604,                0.00604,                0.00604,               0.041924,                0.44213,                0.48405,               0.055503,                0.14426,               0.032207,                 0.4928,                0.52501,                0.04742,                0.14687,                      1
                     42,                0.67537,                 0.4401,                 1.3668,                0.03016,                      0,                      0,                0.83111,                0.82912,                0.87024,                0.72886,                0.65151,                0.40039,                 1.4566,                0.02832,                      0,                      0,               0.005941,               0.005941,               0.005941,               0.041271,                 0.4416,                0.48287,               0.054763,                0.14316,               0.031702,                0.49287,                0.52457,               0.046839,                0.14586,                      1
                     43,                0.66962,                0.43785,                 1.3698,                0.03002,                      0,                      0,                0.82572,                0.83429,                0.86808,                0.72805,                0.65043,                0.40059,                 1.4574,                0.02827,                      0,                      0,               0.005842,               0.005842,               0.005842,               0.040098,                0.44494,                0.48504,               0.053713,                0.14312,               0.030736,                0.49494,                0.52568,               0.045981,                0.14566,                      1
                     44,                0.67124,                0.43472,                 1.3647,                0.03013,                      0,                      0,                0.83043,                0.82593,                 0.8668,                0.72675,                0.65012,                0.40153,                 1.4543,                0.02823,                      0,                      0,               0.005743,               0.005743,               0.005743,               0.041209,                0.44472,                0.48593,                0.05493,                0.14425,               0.031467,                0.49423,                0.52569,               0.046807,                 0.1464,                      1
                     45,                0.67528,                0.43762,                 1.3715,                0.02996,                      0,                      0,                0.85033,                0.81113,                0.86824,                0.72936,                0.64982,                0.39971,                 1.4542,                0.02817,                      0,                      0,               0.005644,               0.005644,               0.005644,               0.040466,                0.44437,                0.48484,               0.053992,                0.14329,               0.031176,                0.49538,                0.52655,               0.046332,                0.14582,                      1
                     46,                0.67131,                0.43698,                 1.3729,                   0.03,                      0,                      0,                0.84443,                0.81445,                0.86694,                 0.7281,                0.65028,                0.40076,                 1.4512,                0.02813,                      0,                      0,               0.005545,               0.005545,               0.005545,               0.040088,                0.44278,                0.48286,               0.053511,                0.14289,               0.030776,                 0.4955,                0.52627,               0.045873,                0.14566,                      1
                     47,                0.67005,                0.43282,                 1.3621,                0.02991,                      0,                      0,                0.84012,                0.82095,                0.86767,                0.72894,                0.64972,                 0.4001,                   1.45,                0.02809,                      0,                      0,               0.005446,               0.005446,               0.005446,                0.04031,                0.44616,                0.48647,               0.053895,                0.14368,               0.030876,                0.49897,                0.52984,               0.046149,                0.14654,                      1
